"Year","Estimated Value","Sale Price","num_rooms","num_bathrooms","carpet_area","property_tax_rate","Date","Locality","Property","Residential","Face"
2012,204450,119000,4,4,NA,1.021958,2012-08-23,NA,"?","Duplex","North"
2012,259560,210000,3,1,927,1.021958,2012-08-23,"Fairfield","Single Family","Detached House","South"
2012,2337650,1500000,3,3,1008,1.021958,2012-08-23,"Greenwich","Single Family","Detached House","East"
2012,720600,1200000,3,3,1092,10.21958,2012-08-23,"West Hartford","Single Family","Detached House","West"
2012,809550,930000,3,1,NA,1.021958,2012-08-23,"Fairfield","Single Family","Detached House","South"
2012,653800,740000,3,1,1027,1.021958,2012-08-23,"Fairfield","Single Family","Detached House","East"
2012,127590,40000,6,4,1843,1.021958,2012-08-24,"Waterbury","Three Family","Triplex","North"
2012,NA,158500,3,2,NA,1.021958,2012-08-25,"Waterbury","Single Family","Detached House","North"
2012,354340,430000,3,1,1016,1.021958,2012-08-25,"Fairfield","Single Family","Detached House","East"
2012,518350,550900,3,2,NA,1.021958,2012-08-25,"Fairfield","Single Family","Detached House","North"
2012,356720,270000,4,4,1449,1.021958,2012-08-26,"Norwalk","Two Family","Duplex","North"
2012,176000,255000,3,2,1021,1.021958,2012-08-26,"West Hartford","Single Family","Detached House","West"
2012,NA,116900,3,3,NA,1.021958,2012-08-30,"Bridgeport","?","Detached House","North"
2012,302680,539000,3,1,1028,1.021958,2012-08-30,"Norwalk","Single Family","Detached House","North"
2012,699170,585000,3,2,969,1.021958,2012-08-30,"Stamford","?","Detached House","East"
2012,343500,535000,3,3,902,1.021958,2012-08-30,"West Hartford","Single Family","Detached House","East"
2012,205370,166000,6,4,2166,1.021958,2012-08-30,"Bridgeport","Three Family","Triplex","North"
2012,422940,570000,3,2,1001,1.021958,2012-08-30,"Fairfield","?","Detached House","East"
2012,554800,865000,3,1,NA,1.021958,2012-08-30,"West Hartford","Single Family","Detached House","North"
2012,NA,63000,6,4,1932,1.021958,2012-08-30,"Bridgeport","Three Family","Triplex","West"
2012,115880,25000,3,1,1074,1.021958,2012-08-30,"Bridgeport","Single Family","Detached House","East"
2012,126700,206000,3,3,1057,1.021958,2012-08-31,"West Hartford","Single Family","Detached House","West"
2012,331680,437000,3,2,933,1.021958,2012-08-31,"Fairfield","Single Family","Detached House","North"
2012,504460,702500,3,1,1098,1.021958,2012-08-31,"Stamford","Single Family","Detached House","West"
2012,199270,217000,6,5,2093,1.021958,2012-08-31,NA,"?","Triplex","West"
2012,215020,275000,3,2,NA,1.021958,2012-08-31,NA,"Single Family","Detached House","North"
2012,692040,635000,3,1,NA,1.021958,2012-08-31,"Stamford","?","Detached House","South"
2012,NA,1815000,3,2,1003,1.021958,2012-08-31,"Greenwich","Single Family","Detached House","North"
2012,125940,152000,3,3,1082,1.021958,2012-08-31,"Bridgeport","Single Family","Detached House","North"
2012,1801730,1625000,3,1,1078,1.021958,2012-08-31,"Greenwich","Single Family","Detached House","South"
2012,692020,450000,3,3,NA,1.021958,2012-09-01,NA,"Single Family","Detached House","North"
2012,1365140,2850000,3,2,977,1.021958,2012-09-01,NA,"Single Family","Detached House","West"
2012,NA,23000,3,2,1038,1.021958,2012-09-01,"Waterbury","?","Detached House","West"
2012,146420,40000,6,6,1906,1.021958,2012-09-01,"Waterbury","Three Family","Triplex","South"
2012,156350,152000,3,3,1051,1.021958,2012-09-01,"Bridgeport","Single Family","Detached House","East"
2012,681780,701495,3,3,NA,1.021958,2012-09-01,"Stamford","Single Family","Detached House","East"
2012,1046920,1100000,3,3,NA,1.021958,2012-09-01,"Greenwich","Single Family","Detached House","North"
2012,509480,717000,3,2,NA,1.021958,2012-09-02,"Stamford","?","Detached House","East"
2012,237800,370000,3,2,10020,1.021958,2012-09-02,NA,"Single Family","Detached House","North"
2012,367570,412500,3,2,NA,1.021958,2012-09-02,"Fairfield","Single Family","Detached House","West"
2012,101180,45000,3,1,1082,1.021958,2012-09-03,"Bridgeport","Single Family","Detached House","East"
2012,143390,153000,4,2,NA,1.021958,2012-09-03,"Waterbury","Two Family","Duplex","South"
2012,NA,1400000,3,2,NA,1.021958,2012-09-03,"Stamford","?","Detached House","West"
2012,613060,955000,3,2,NA,1.021958,2012-09-03,"Stamford","Single Family","Detached House","East"
2012,NA,124000,3,2,NA,1.021958,2012-09-03,"Waterbury","Single Family","Detached House","West"
2012,439260,636500,3,1,NA,1.021958,2012-09-07,"Stamford","Single Family","Detached House","South"
2012,NA,525000,3,3,1005,1.021958,2012-09-07,NA,"?","Detached House","East"
2012,NA,295000,30,1,968,1.021958,2012-09-07,"West Hartford","Single Family","Detached House","South"
2012,NA,330000,4,2,NA,1.021958,2012-09-07,"Stamford","Two Family","Duplex","East"
2012,145190,158000,3,1,974,1.021958,2012-09-07,"Waterbury","Single Family","Detached House","North"
2012,156540,40000,8,8,NA,1.021958,2012-09-09,"Waterbury","Four Family","Fourplex","West"
2012,439740,588000,3,1,1011,1.021958,2012-09-09,"Fairfield","Single Family","Detached House","West"
2012,336290,365000,3,2,1068,1.021958,2012-09-09,"Fairfield","?","Detached House","South"
2012,1194410,1495000,3,1,1085,1.021958,2012-09-10,"Greenwich","Single Family","Detached House","South"
2012,NA,580000,3,3,969,1.021958,2012-09-10,"Stamford","?","Detached House","East"
2012,96610,40000,3,2,957,1.021958,2012-09-13,"Waterbury","Single Family","Detached House","East"
2012,173400,50000,4,2,1364,1.021958,2012-09-13,"Bridgeport","Two Family","Duplex","North"
2012,101670,92000,3,1,961,1.021958,2012-09-13,"Waterbury","Single Family","Detached House","East"
2012,621950,815000,3,1,NA,1.021958,2012-09-13,NA,"Single Family","Detached House","North"
2012,162330,110000,3,2,NA,1.021958,2012-09-14,NA,"?","Detached House","East"
2012,122300,222500,3,1,NA,1.021958,2012-09-14,"West Hartford","Single Family","Detached House","West"
2012,225330,340000,3,1,947,1.021958,2012-09-15,"Fairfield","Single Family","Detached House","North"
2012,440790,425000,3,3,NA,1.021958,2012-09-16,"Greenwich","Single Family","Detached House","North"
2012,1239420,18000,3,1,NA,1.021958,2012-09-16,"Greenwich","Single Family","Detached House","East"
2012,673260,7e+05,3,2,949,1.021958,2012-09-17,"Greenwich","Single Family","Detached House","South"
2012,105480,39400,6,4,1910,1.021958,2012-09-17,"Waterbury","Three Family","Triplex","East"
2012,518800,685000,3,2,989,1.021958,2012-09-20,"Stamford","Single Family","Detached House","South"
2012,122650,193000,3,2,NA,1.021958,2012-09-21,"Bridgeport","Single Family","Detached House","East"
2012,377790,4e+05,3,2,1007,1.021958,2012-09-21,"Fairfield","?","Detached House","West"
2012,1278620,3740000,3,3,934,1.021958,2012-09-22,"Greenwich","?","Detached House","West"
2012,305550,540000,3,2,NA,1.021958,2012-09-22,"Norwalk","Single Family","Detached House","North"
2012,292440,2700000,3,1,NA,1.021958,2012-09-22,"Stamford","?","Detached House","North"
2012,376180,450000,3,1,963,1.021958,2012-09-23,"Fairfield","Single Family","Detached House","South"
2012,450440,270000,6,6,1865,1.021958,2012-09-23,"Stamford",NA,"Triplex","East"
2012,676240,735000,3,1,931,1.021958,2012-09-24,"Stamford","Single Family","Detached House","West"
2012,NA,840000,3,2,1034,1.021958,2012-09-24,"Norwalk","Single Family","Detached House","West"
2012,125670,127500,3,3,1034,1.021958,2012-09-24,"Waterbury","Single Family","Detached House","East"
2012,65290,9368,6,5,NA,1.021958,2012-09-24,"Waterbury","?","Triplex","East"
2012,NA,282769,3,2,NA,1.021958,2012-09-27,"Bridgeport","?","Detached House","West"
2012,154120,153500,3,2,NA,1.021958,2012-09-27,"Bridgeport","Single Family","Detached House","East"
2012,610540,810000,3,1,1025,1.021958,2012-09-27,"Greenwich","Single Family","Detached House","West"
2012,111950,72000,6,6,2010,1.021958,2012-09-27,"Waterbury","Three Family","Triplex","North"
2012,427910,407000,3,3,NA,1.021958,2012-09-28,"Fairfield","Single Family","Detached House","South"
2012,305900,420000,3,3,NA,1.021958,2012-09-29,"Norwalk","Single Family","Detached House","North"
2012,178800,255000,3,1,NA,1.021958,2012-09-30,NA,"Single Family","Detached House","West"
2012,2234260,3550000,3,1,1065,1.021958,2012-09-30,"Greenwich","Single Family","Detached House","South"
2012,269300,283000,4,2,NA,1.021958,2012-09-30,"West Hartford","Two Family","Duplex","East"
2012,2122050,2375000,3,2,NA,1.021958,2012-09-30,"Greenwich","Single Family","Detached House","North"
2012,123160,65500,3,3,994,1.021958,2012-09-30,"Bridgeport","Single Family","Detached House","West"
2012,NA,890000,3,1,947,NA,2012-09-30,NA,"?","Detached House","North"
2012,168870,55000,6,4,1895,1.021958,2012-09-30,"Bridgeport","?","Triplex","North"
2012,95290,136500,3,3,1073,1.021958,2012-10-01,"Waterbury","Single Family","Detached House","South"
2012,NA,186000,3,2,1035,1.021958,2012-10-04,"Bridgeport","Single Family","Detached House","East"
2012,140610,139900,4,3,NA,1.021958,2012-10-04,"Waterbury","Two Family","Duplex","East"
2012,116630,142000,3,1,NA,1.021958,2012-10-04,NA,"Single Family","Detached House","East"
2012,NA,71500,3,1,981,1.021958,2012-10-04,"Waterbury","Single Family","Detached House","North"
2012,192170,85000,6,4,2033,1.021958,2012-10-04,"Bridgeport","Three Family","Triplex","North"
2012,121640,100410,3,NA,NA,1.021958,2012-10-04,"Bridgeport","Single Family","Detached House","West"
2012,261240,328000,3,2,NA,1.021958,2012-10-04,"Norwalk","Single Family","Detached House","West"
2012,387670,355000,3,3,1012,1.021958,2012-10-04,"Stamford","Single Family","Detached House","West"
2012,267110,250000,8,6,2821,1.021958,2012-10-06,"Bridgeport","Four Family","Fourplex","West"
2012,145760,255000,6,4,2064,1.021958,2012-10-06,"Bridgeport","Three Family","Triplex","North"
2012,138290,30000,6,5,NA,1.021958,2012-10-07,"Waterbury","Three Family","Triplex","West"
2012,91100,130000,3,2,1061,1.021958,2012-10-08,"Waterbury","Single Family","Detached House","North"
2012,239700,187500,3,2,983,1.021958,2012-10-12,"West Hartford","Single Family","Detached House","North"
2012,124970,90000,3,3,NA,1.021958,2012-10-12,NA,"?","Detached House","North"
2012,119100,85000,3,2,1015,1.021958,2012-10-12,"Waterbury","Single Family","Detached House","East"
2012,215400,262500,3,1,1041,1.021958,2012-10-12,"West Hartford","Single Family","Detached House","South"
2012,1726900,105000,3,1,972,1.021958,2012-10-12,"Norwalk","Single Family","Detached House","South"
2012,131890,25000,6,5,1985,1.021958,2012-10-14,"Waterbury","Three Family","Triplex","South"
2012,284200,407500,3,3,957,1.021958,2012-10-14,"West Hartford","Single Family","Detached House","East"
2012,262700,330000,3,3,NA,1.021958,2012-10-19,"West Hartford","Single Family","Detached House","East"
2012,465380,560000,3,3,949,1.021958,2012-10-19,"Stamford","Single Family","Detached House","North"
2012,261900,376000,3,3,978,1.021958,2012-10-20,"West Hartford","Single Family","Detached House","South"
2012,381900,340000,3,3,NA,1.021958,2012-10-21,"Stamford","Single Family","Detached House","East"
2012,NA,660000,3,1,999,1.021958,2012-10-21,"Stamford","?","Detached House","North"
2012,297110,415000,3,1,1010,1.021958,2012-10-21,"Bridgeport","?","Detached House","South"
2012,147900,77100,4,4,1377,1.021958,2012-10-21,"Bridgeport","Two Family","Duplex","North"
2012,467790,530000,3,1,NA,1.021958,2012-10-22,"Stamford","Single Family","Detached House","West"
2012,NA,274900,3,3,1043,1.021958,2012-10-25,"West Hartford","Single Family","Detached House","South"
2012,254000,335000,3,1,1002,1.021958,2012-10-26,"West Hartford","Single Family","Detached House","West"
2012,130190,18400,3,3,1024,1.021958,2012-10-27,"Bridgeport","Single Family","Detached House","North"
2012,123360,65000,4,2,1393,1.021958,2012-10-27,NA,"Two Family","Duplex","East"
2012,71140,42200,3,3,964,1.021958,2012-10-27,NA,"Single Family","Detached House","South"
2012,258400,90000,3,1,1000,1.021958,2012-10-27,"West Hartford","Single Family","Detached House","East"
2012,117630,30000,30,2,NA,1.021958,2012-10-28,"Bridgeport","Single Family","Detached House","South"
2012,373850,399000,3,2,933,1.021958,2012-10-29,"Stamford","Single Family","Detached House","West"
2012,123790,59000,3,3,915,1.021958,2012-10-29,"Waterbury","Single Family","Detached House","West"
2012,388960,380000,3,1,NA,1.021958,2012-10-29,NA,"Single Family","Detached House","West"
2012,512290,525000,6,4,NA,1.021958,2012-11-01,"Stamford","Three Family","Triplex","West"
2012,214000,1e+05,3,3,948,1.021958,2012-11-01,"West Hartford","Single Family","Detached House","South"
2012,629820,848000,3,3,973,1.021958,2012-11-01,"Stamford","Single Family","Detached House","East"
20120,NA,122000,3,3,NA,1.021958,2012-11-01,"Bridgeport","Single Family","Detached House","East"
2012,NA,184000,3,2,NA,NA,2012-11-02,"Bridgeport","Single Family","Detached House","East"
2012,204560,165000,4,4,1470,1.021958,2012-11-02,"Bridgeport","Two Family","Duplex","West"
2012,131890,128000,3,2,NA,1.021958,2012-11-02,"Bridgeport","Single Family","Detached House","South"
2012,112340,115000,3,3,NA,1.021958,2012-11-03,"Waterbury","Single Family","Detached House","West"
2012,NA,24000,6,6,2039,1.021958,2012-11-03,"Waterbury","?","Triplex","West"
2012,118190,110000,4,2,NA,1.021958,2012-11-03,"Waterbury","Two Family","Duplex","South"
2012,585900,715000,3,1,1047,1.021958,2012-11-04,"Norwalk","Single Family","Detached House","South"
2012,351820,242500,3,1,986,1.021958,2012-11-08,"Norwalk","Single Family","Detached House","East"
2012,301040,220000,3,2,1028,1.021958,2012-11-08,"Bridgeport","Single Family","Detached House","North"
2012,123570,161000,4,3,NA,1.021958,2012-11-08,"Bridgeport","Two Family","Duplex","East"
2012,336500,470000,3,1,929,1.021958,2012-11-08,"West Hartford","Single Family","Detached House","West"
2012,92000,108300,3,2,1096,1.021958,2012-11-09,"Bridgeport","?","Detached House","South"
2012,91250,142900,3,3,1087,1.021958,2012-11-09,"Waterbury","Single Family","Detached House","East"
2012,96530,85000,3,3,NA,1.021958,2012-11-10,"Waterbury","Single Family","Detached House","North"
2012,282520,359900,3,2,1055,1.021958,2012-11-12,"Norwalk","Single Family","Detached House","South"
2012,401660,365000,3,3,925,1.021958,2012-11-15,"Norwalk","?","Detached House","East"
2012,158000,190000,3,1,1007,1.021958,2012-11-15,"West Hartford","Single Family","Detached House","West"
2012,165150,199500,3,2,1009,1.021958,2012-11-15,"Bridgeport","?","Detached House","East"
2012,NA,4e+05,3,1,1095,1.021958,2012-11-16,"West Hartford","Single Family","Detached House","South"
2012,108360,NA,3,3,1047,1.021958,2012-11-16,"Waterbury","?","Detached House","North"
2012,287470,330000,3,1,958,1.021958,2012-11-17,"Stamford","Single Family","Detached House","West"
2012,NA,3e+05,3,2,NA,1.021958,2012-11-17,"Norwalk","Single Family","Detached House","North"
2012,390880,465000,3,3,NA,1.021958,2012-11-17,"Norwalk","Single Family","Detached House","West"
2012,175940,165000,4,3,1284,1.021958,2012-11-18,"Bridgeport","Two Family","Duplex","West"
2012,462630,575000,3,2,1098,1.021958,2012-11-18,NA,"Single Family","Detached House","West"
2012,170630,95000,4,3,NA,1.021958,2012-11-18,"Bridgeport","?","Duplex","East"
2012,196660,125668,60,6,NA,1.021958,2012-11-18,"Bridgeport","Three Family","Triplex","North"
2012,168540,76000,6,5,2100,1.021958,2012-11-20,NA,"Three Family","Triplex","East"
2012,347550,449000,4,4,NA,1.021958,2012-11-22,NA,"Two Family","Duplex","South"
2012,178870,15000,4,4,1398,1.021958,2012-11-22,"Bridgeport","Two Family","Duplex","East"
2012,89510,106000,3,2,1093,1.021958,2012-11-23,"Waterbury","Single Family","Detached House","West"
2012,118560,84000,3,3,NA,1.021958,2012-11-23,"Waterbury","Single Family","Detached House","East"
2012,154000,219900,3,1,942,1.021958,2012-11-23,"West Hartford","?","Detached House","North"
2012,206900,285000,3,1,1067,1.021958,2012-11-23,"West Hartford","Single Family","Detached House","West"
2012,129640,25000,6,6,1965,1.021958,2012-11-24,NA,"Three Family","Triplex","North"
2012,384370,421500,3,3,NA,1.021958,2012-11-24,"Norwalk","Single Family","Detached House","North"
2012,159720,205000,3,2,965,1.021958,2012-11-29,"Bridgeport","Single Family","Detached House","South"
2012,320400,343000,3,3,1052,1.021958,2012-11-29,NA,"Single Family","Detached House","South"
2012,158700,255000,3,2,NA,1.021958,2012-11-30,"West Hartford","Single Family","Detached House","West"
2012,523230,660000,3,1,1097,1.021958,2012-11-30,"Stamford","?","Detached House","South"
2012,132060,32000,4,2,1377,1.021958,2012-11-30,"Bridgeport","?","Duplex","West"
2012,340690,390000,3,1,NA,1.021958,2012-11-30,"Norwalk","Single Family","Detached House","South"
2012,179980,175000,3,1,1079,1.021958,2012-11-30,"Waterbury","Single Family","Detached House","South"
2012,135610,108000,6,6,2030,1.021958,2012-12-01,"Waterbury","?","Triplex","North"
2012,361690,420000,3,2,1055,1.021958,2012-12-01,"Norwalk","Single Family","Detached House","East"
2012,470760,702500,3,2,1036,1.021958,2012-12-01,"Stamford","Single Family","Detached House","East"
2012,146890,41000,3,1,1080,1.021958,2012-12-01,"Bridgeport","Single Family","Detached House","South"
2012,NA,509000,3,1,952,1.021958,2012-12-02,"Norwalk","Single Family","Detached House","East"
2012,178120,122000,4,4,NA,1.021958,2012-12-02,"Bridgeport","Two Family","Duplex","South"
2012,127740,135000,3,1,1007,1.021958,2012-12-02,"Bridgeport","Single Family","Detached House","North"
2012,286200,429900,3,1,NA,1.021958,2012-12-02,"West Hartford","Single Family","Detached House","South"
2012,296170,250000,3,2,1079,1.021958,2012-12-03,"Norwalk","Single Family","Detached House","East"
2012,310100,359000,3,2,NA,1.021958,2012-12-03,"Norwalk","Single Family","Detached House","West"
2012,NA,3430000,3,1,1095,1.021958,2012-12-03,"Stamford","?","Detached House","South"
2012,380300,524000,3,2,1084,1.021958,2012-12-06,NA,"Single Family","Detached House","South"
2012,156280,73000,6,6,2141,1.021958,2012-12-06,"Waterbury","Three Family","Triplex","North"
2012,201320,175000,3,2,1011,1.021958,2012-12-08,NA,"Single Family","Detached House","South"
2012,127470,49400,3,1,985,1.021958,2012-12-08,"Bridgeport","Single Family","Detached House","West"
2012,128020,119900,3,1,NA,1.021958,2012-12-09,"Bridgeport","Single Family","Detached House","West"
2012,184290,110750,6,5,NA,1.021958,2012-12-10,"Waterbury","Three Family","Triplex","North"
2012,206500,142000,3,3,NA,1.021958,2012-12-10,"Norwalk","Single Family","Detached House","West"
2012,301480,281000,3,1,910,1.021958,2012-12-13,"Stamford","Single Family","Detached House","West"
2012,150120,212000,3,3,NA,1.021958,2012-12-13,"Bridgeport","?","Detached House","North"
2012,108260,75000,3,2,926,1.021958,2012-12-14,"Bridgeport","Single Family","Detached House","East"
2012,225680,135000,4,2,1359,1.021958,2012-12-14,"Bridgeport","Two Family","Duplex","South"
2012,208100,312500,3,3,1002,1.021958,2012-12-14,"West Hartford","Single Family","Detached House","South"
2012,160000,101000,4,4,1382,1.021958,2012-12-15,"Bridgeport","Two Family","Duplex","West"
2012,292700,292500,3,2,910,1.021958,2012-12-15,"West Hartford","Single Family","Detached House","East"
2012,497160,569000,3,3,992,1.021958,2012-12-15,"Stamford","Single Family","Detached House","East"
2012,103750,13451,6,6,2000,1.021958,2012-12-15,"Waterbury","Three Family","Triplex","West"
2012,411300,577500,3,1,974,1.021958,2012-12-15,"Stamford","Single Family","Detached House","East"
2012,150640,165000,3,1,946,1.021958,2012-12-16,"Bridgeport","Single Family","Detached House","South"
2012,392090,270000,4,NA,1368,1.021958,2012-12-17,"Stamford","Two Family","Duplex","South"
2012,441400,2e+05,4,2,1406,1.021958,2012-12-17,"Stamford","Two Family","Duplex","East"
2012,176640,76000,6,4,2189,1.021958,2012-12-20,"Bridgeport","Three Family","Triplex","East"
2012,175660,68750,6,6,2075,1.021958,2012-12-20,"Bridgeport","Three Family","Triplex","North"
2012,145160,161000,6,5,2143,1.021958,2012-12-20,"Bridgeport","Three Family","Triplex","East"
2012,875000,750000,3,1,NA,1.021958,2012-12-20,"Stamford","Single Family","Detached House","East"
2012,125770,45000,4,2,1370,1.021958,2012-12-20,"Bridgeport","Two Family","Duplex","East"
2012,140880,25000,6,6,1973,1.021958,2012-12-20,"Waterbury","?","Triplex","South"
2012,NA,333000,3,3,980,1.021958,2012-12-20,"Stamford","Single Family","Detached House","East"
2012,126030,131000,3,2,NA,1.021958,2012-12-20,"Waterbury","Single Family","Detached House","East"
2012,180920,90000,4,4,1294,1.021958,NA,"Bridgeport","Two Family","Duplex","East"
2012,98840,75000,4,3,1259,1.021958,2012-12-20,"Waterbury","Two Family","Duplex","West"
2012,151070,30000,6,5,2185,1.021958,2012-12-20,NA,"?","Triplex","East"
2012,130410,129000,3,1,1045,1.021958,2012-12-22,"Bridgeport","Single Family","Detached House","West"
2012,292180,NA,4,3,1312,1.021958,2012-12-22,"Norwalk","Two Family","Duplex","South"
2012,303530,310000,3,1,1059,1.021958,2012-12-22,"Stamford","Single Family","Detached House","North"
2012,202080,185000,4,4,1221,1.021958,2012-12-23,"Bridgeport","Two Family","Duplex","West"
2012,283700,365000,6,6,NA,1.021958,2012-12-27,"West Hartford","Three Family","Triplex","North"
2012,451240,532500,3,3,NA,1.021958,2012-12-28,"Stamford","Single Family","Detached House","East"
2012,343100,348050,3,3,1005,1.021958,2012-12-28,"Stamford","Single Family","Detached House","South"
2012,103500,97500,3,2,970,1.021958,2012-12-28,"Waterbury","Single Family","Detached House","North"
2012,313690,325000,3,2,1100,1.021958,2012-12-29,"Stamford","?","Detached House","North"
2012,190400,220000,4,2,1327,1.021958,2012-12-29,"Bridgeport","?","Duplex","South"
20120,95460,50000,3,1,NA,1.021958,2012-12-30,"Bridgeport","Single Family","Detached House","West"
2013,151890,92500,4,3,1395,1.020333,2013-01-03,NA,"Two Family","Duplex","East"
2013,209530,121000,6,6,NA,1.020333,2013-01-03,"Bridgeport","Three Family","Triplex","East"
2013,267300,345000,3,2,NA,1.020333,2013-01-03,"West Hartford","Single Family","Detached House","West"
2013,740800,920000,3,2,NA,NA,2013-01-04,"Stamford","Single Family","Detached House","South"
2013,58550,90100,3,2,NA,1.020333,2013-01-04,"Waterbury","Single Family","Detached House","West"
2013,165300,250000,3,2,948,1.020333,2013-01-05,"West Hartford","Single Family","Detached House","West"
2013,212900,279900,3,2,900,1.020333,2013-01-05,"West Hartford","Single Family","Detached House","North"
2013,164560,65000,4,3,NA,1.020333,2013-01-06,NA,"Two Family","Duplex","West"
2013,NA,272000,3,2,976,1.020333,2013-01-06,NA,"Single Family","Detached House","North"
2013,219410,91500,4,3,1208,1.020333,2013-01-06,"Bridgeport","Two Family","Duplex","West"
2013,292250,407000,3,2,9370,1.020333,2013-01-07,"Norwalk","?","Detached House","South"
2013,84280,1e+05,3,1,NA,1.020333,2013-01-10,"Bridgeport","Single Family","Detached House","North"
2013,158652,50000,3,2,968,1.020333,2013-01-11,"Waterbury","?","Detached House","East"
2013,NA,405000,3,1,NA,1.020333,2013-01-11,"West Hartford","?","Detached House","East"
2013,153760,44900,6,5,2125,1.020333,2013-01-11,"Waterbury","Three Family","Triplex","West"
2013,NA,165000,6,5,1969,1.020333,2013-01-18,"Bridgeport","Three Family","Triplex","North"
2013,177850,35000,8,7,NA,1.020333,2013-01-18,"Bridgeport","?","Fourplex","East"
2013,256300,247500,3,3,1049,1.020333,2013-01-18,"West Hartford","Single Family","Detached House","North"
2013,643860,848000,3,1,NA,1.020333,2013-01-18,"Norwalk","Single Family","Detached House","North"
2013,187400,3000,3,3,NA,1.020333,2013-01-19,"West Hartford","Single Family","Detached House","South"
2013,125750,8500,6,4,1970,1.020333,2013-01-20,"Waterbury","Three Family","Triplex","East"
2013,249200,335000,3,1,953,1.020333,2013-01-20,"Norwalk","?","Detached House","South"
2013,91720,14900,6,4,1931,1.020333,2013-01-21,NA,"Three Family","Triplex","North"
2013,98840,38500,4,2,NA,1.020333,2013-01-24,"Bridgeport","?","Duplex","East"
2013,307100,480000,3,2,NA,1.020333,2013-01-24,"West Hartford","Single Family","Detached House","East"
2013,224210,236700,3,1,962,1.020333,2013-01-25,"Norwalk","Single Family","Detached House","West"
2013,NA,979000,3,3,1052,1.020333,2013-01-25,NA,"Single Family","Detached House","West"
2013,188620,52000,6,5,1895,1.020333,2013-01-25,"Bridgeport","Three Family","Triplex","East"
2013,192800,217000,3,2,1032,1.020333,2013-01-26,"West Hartford","Single Family","Detached House","West"
2013,179610,215000,3,2,1025,1.020333,2013-01-26,"Waterbury","Single Family","Detached House","South"
2013,176610,152000,3,2,1052,1.020333,2013-01-26,"Waterbury","Single Family","Detached House","East"
2013,267300,465000,3,2,NA,1.020333,2013-01-26,"West Hartford","Single Family","Detached House","East"
2013,NA,133000,4,3,1392,1.020333,2013-01-27,NA,"Two Family","Duplex","East"
2013,168870,18500,6,6,2044,1.020333,2013-01-27,"Waterbury","Three Family","Triplex","West"
2013,116220,106500,3,2,NA,1.020333,2013-01-28,"Waterbury","Single Family","Detached House","East"
2013,175020,145000,6,NA,2082,1.020333,2013-01-31,"Bridgeport","Three Family","Triplex","South"
2013,310800,360000,3,1,1051,1.020333,2013-01-31,"Norwalk","Single Family","Detached House","South"
2013,150220,95203,4,2,NA,1.020333,2013-01-31,"Bridgeport","Two Family","Duplex","North"
2013,149980,40000,8,7,NA,1.020333,2013-01-31,NA,"Four Family","Fourplex","East"
2013,143820,37000,6,6,NA,1.020333,2013-02-01,"Waterbury","?","Triplex","North"
2013,107880,26300,4,3,1495,1.020333,2013-02-01,"Waterbury","Two Family","Duplex","North"
2013,131170,115000,3,2,1088,1.020333,2013-02-01,"Waterbury","Single Family","Detached House","West"
2013,291300,320000,3,3,NA,1.020333,2013-02-01,"Stamford","Single Family","Detached House","North"
2013,126130,143000,3,2,966,1.020333,2013-02-01,"Waterbury","Single Family","Detached House","North"
2013,154100,225000,3,1,1042,1.020333,2013-02-01,"West Hartford","Single Family","Detached House","East"
2013,NA,292669,3,2,NA,1.020333,2013-02-02,"Norwalk","?","Detached House","North"
2013,NA,105000,3,3,957,1.020333,2013-02-03,NA,"Single Family","Detached House","West"
2013,237080,152250,8,6,NA,1.020333,2013-02-03,"Bridgeport","Four Family","Fourplex","North"
2013,235390,130000,8,7,NA,1.020333,2013-02-07,NA,"Four Family","Fourplex","North"
2013,341600,235000,4,2,1338,1.020333,2013-02-07,"Norwalk","Two Family","Duplex","South"
2013,240870,15000,4,4,1485,1.020333,2013-02-07,"Norwalk","Two Family","Duplex","North"
2013,237090,225000,4,3,NA,1.020333,2013-02-07,"Norwalk","Two Family","Duplex","North"
2013,258440,345000,3,2,1042,1.020333,2013-02-07,"Norwalk","Single Family","Detached House","North"
2013,185400,325000,3,1,982,1.020333,2013-02-08,NA,"?","Detached House","West"
2013,2487000,419000,3,3,994,1.020333,2013-02-10,"West Hartford","Single Family","Detached House","East"
2013,366050,415000,3,3,965,1.020333,2013-02-14,"Stamford","?","Detached House","West"
2013,181700,216500,3,3,969,1.020333,2013-02-15,"West Hartford","Single Family","Detached House","North"
2013,160200,115000,4,3,NA,1.020333,2013-02-17,"Bridgeport","Two Family","Duplex","West"
2013,314720,310000,3,1,NA,1.020333,2013-02-18,"Norwalk","Single Family","Detached House","North"
2013,127650,31077,3,3,965,1.020333,2013-02-22,"Waterbury","Single Family","Detached House","South"
2013,374430,420000,3,1,NA,1.020333,2013-02-22,"Stamford","Single Family","Detached House","West"
2013,97810,45500,3,1,983,1.020333,2013-02-22,"Waterbury","Single Family","Detached House","North"
2013,193810,250000,4,4,1424,1.020333,2013-02-22,"Bridgeport","Two Family","Duplex","North"
2013,225370,112000,6,5,NA,1.020333,2013-02-22,"Bridgeport","Three Family","Triplex","North"
2013,472710,601000,3,1,NA,1.020333,2013-02-24,"Norwalk","Single Family","Detached House","South"
2013,135390,145000,3,3,1038,1.020333,2013-02-24,"Waterbury","Single Family","Detached House","South"
